,0,total_value
180,간지,0.5704697986577181
181,간지러운,-0.028571428571428525
182,간지러움,-0.3333333333333333
183,간지러워,-0.7250000000000001
184,간지러워서,-0.7209302325581395
185,간지럽,-0.6285714285714286
186,간직,0.0
187,간질간질,-0.5555555555555556
188,간편히,0.7777777777777777
189,간혹,0.3233082706766917
190,갇,0.04255319148936171
191,갈,0.030537634408602132
192,갈고,0.43999999999999995
193,갈기,0.04347826086956519
194,갈까,-0.14285714285714285
195,갈도,0.13725490196078427
196,갈등,0.14285714285714285
197,갈라,-0.6666666666666667
198,갈라져,-0.8082191780821917
199,갈라져서,-0.8113207547169812
200,갈라졌,-0.7714285714285714
201,갈라지,-0.7037037037037037
202,갈라진,-0.7142857142857142
203,갈라짐,-0.5
204,갈려,-0.6521739130434783
205,갈려고,-0.17647058823529416
206,갈려서,-0.6000000000000001
207,갈리,-0.5824175824175823
208,갈릭,0.09677419354838707
209,갈린,-0.7333333333333334
210,갈릴,-0.14999999999999997
211,갈매기살,-0.2571428571428571
212,갈변,-0.7575757575757576
213,갈비,-0.30434782608695654
214,갈비뼈,-0.17647058823529416
215,갈비찜,-0.05882352941176472
216,갈색,-0.5136778115501519
217,갈색빛,-0.5
218,갈수록,-0.6531365313653137
219,갈아끼우,0.07692307692307687
220,갈아먹,0.09090909090909088
221,갈아입,-0.5135135135135136
222,갈아주,0.5031847133757963
223,갈아줄,0.368421052631579
224,갈아줘야,0.3650793650793651
225,갈아타,0.1875
226,갈아탄,0.5714285714285714
227,갈아탈,0.04347826086956519
228,갈아탔,0.5614035087719298
229,갈이,-0.6000000000000001
230,갈일,0.04347826086956519
231,갈증,0.5789473684210527
232,갈지,0.25333333333333335
233,갈진,0.6363636363636365
234,갈치,-0.75
235,감,0.1799628942486085
236,감각,0.5652173913043479
237,감감,-0.6000000000000001
238,감감무소식,-0.935483870967742
239,감개,0.11111111111111116
240,감겨,-0.48214285714285715
241,감겨서,-0.3333333333333333
242,감겨져,-0.35714285714285715
243,감격,0.9199999999999999
244,감고,-0.28
245,감귤,-0.5254237288135593
246,감기,0.14935064935064934
247,감긴,-0.6818181818181819
248,감김,-0.6666666666666667
249,감당,-0.1891891891891892
250,감도,-0.134020618556701
251,감동,0.8495412844036698
252,감량,0.3333333333333333
253,감미료,0.0
254,감바,0.490566037735849
255,감사,0.8845074895463929
256,감사용,0.8666666666666667
257,감사히,0.8846153846153846
258,감상,0.52
259,감성,0.19999999999999996
260,감소,0.19999999999999996
261,감수,-0.11794871794871797
262,감싸,-0.05705705705705705
263,감쌌,0.3333333333333333
264,감안,-0.3515981735159817
265,감이,0.07692307692307687
266,감자,-0.327054794520548
267,감자탕,0.48
268,감자튀김,0.5172413793103448
